Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,0,1,0,0,3,1,2,1,2,0,1,12.0
LESÃO CORPORAL DOLOSA,24,22,44,30,23,30,33,39,34,29,50,32,390.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,22,36,21,24,23,15,21,35,29,48,22,26,322.0
LESÃO CORPORAL CULPOSA - OUTRAS,2,4,2,1,2,1,1,7,1,3,0,1,25.0
LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1.0
TOTAL DE ESTUPRO (4),0,2,0,1,2,3,4,2,3,1,3,0,21.0
TOTAL DE ROUBO - OUTROS (1),82,90,113,125,126,131,153,160,149,164,101,116,1.51
ROUBO DE VEÍCULO,13,16,11,9,5,14,18,8,22,13,7,7,143.0
ROUBO A BANCO,1,0,0,0,0,2,0,0,0,0,0,0,3.0
ROUBO DE CARGA,1,1,1,1,0,0,0,0,1,2,0,0,7.0
FURTO - OUTROS,313,246,213,319,356,357,311,434,383,439,365,370,4.106
FURTO DE VEÍCULO,43,50,50,54,78,47,55,50,60,59,33,35,614.0
