Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,1,1,1,0,0,0,1,0,1,1,6.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,1,1,1,0,0,0,1,0,1,1,6.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,2,0,0,0,0,0,0,0,0,0,0,2.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,1,0,0,0,0,0,0,0,1.0
TENTATIVA DE HOMICÍDIO,0,1,0,2,0,0,0,0,0,0,1,0,4.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,26,30,28,33,22,12,15,16,28,25,26,13,274.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,5,12,12,22,8,8,13,13,11,10,7,15,136.0
LESÃO CORPORAL CULPOSA - OUTRAS,1,2,2,2,0,2,1,6,1,2,0,1,20.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),3,1,2,2,1,0,1,1,2,3,0,1,17.0
ESTUPRO,0,1,0,1,1,0,1,1,0,2,0,1,8.0
ESTUPRO DE VULNERÁVEL,3,0,2,1,0,0,0,0,2,1,0,0,9.0
TOTAL DE ROUBO - OUTROS (1),86,114,120,71,108,97,78,89,84,93,79,95,1.114
ROUBO - OUTROS,86,113,120,71,107,97,77,87,82,91,76,95,1.102
ROUBO DE VEÍCULO,2,2,2,4,4,0,9,8,1,3,3,7,45.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,0,1,0,0,1,0,1,2,2,2,3,0,12.0
FURTO - OUTROS,207,266,265,201,215,151,199,251,248,217,198,191,2.609
FURTO DE VEÍCULO,46,53,58,65,58,26,53,48,20,30,45,22,524.0
