Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,1,0,0,0,2,0,1,0,4.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,1,0,0,0,2,0,1,0,4.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,1,1,0,0,2.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,1,0,0,1.0
TENTATIVA DE HOMICÍDIO,0,0,1,0,0,0,0,0,0,0,0,1,2.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,1,0,0,1,0,0,0,2.0
LESÃO CORPORAL DOLOSA,45,36,39,18,21,31,41,31,36,23,24,40,385.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,6,8,14,6,10,9,12,13,17,9,9,12,125.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,2,3,0,1,1,3,3,2,3,0,1,19.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),1,2,1,1,3,0,2,4,1,2,6,1,24.0
ESTUPRO,0,1,0,0,1,0,0,2,0,0,3,1,8.0
ESTUPRO DE VULNERÁVEL,1,1,1,1,2,0,2,2,1,2,3,0,16.0
TOTAL DE ROUBO - OUTROS (1),82,90,87,80,76,80,96,103,113,83,88,97,1075.0
ROUBO - OUTROS,82,90,87,80,76,80,96,103,113,83,88,96,1074.0
ROUBO DE VEÍCULO,0,1,1,2,0,0,1,0,1,2,0,1,9.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,0,0,0,0,0,0,0,0,0,0,0,1,1.0
FURTO - OUTROS,298,371,405,323,356,388,389,486,422,359,420,378,4595.0
FURTO DE VEÍCULO,42,48,40,41,24,12,23,29,34,25,31,27,376.0
