Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,1,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,1,0,0,0,0,0,0,1
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,1,0,0,1,0,0,1,0,1,1,2,7
LESÃO CORPORAL DOLOSA,16,15,18,23,23,17,9,9,14,19,18,14,195
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,9,6,10,12,8,15,10,7,14,13,7,7,118
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,0,0,0,0,0,0,2,1,0,0,4
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),1,0,0,2,1,2,1,2,1,0,0,1,11
TOTAL DE ROUBO - OUTROS (1),24,26,42,21,51,35,41,46,31,35,38,30,420
ROUBO DE VEÍCULO,11,14,26,22,28,18,16,19,17,13,21,21,226
ROUBO A BANCO,0,0,0,1,0,0,0,0,0,0,0,0,1
ROUBO DE CARGA,1,0,1,1,1,0,1,1,1,0,0,0,7
FURTO - OUTROS,70,57,59,64,170,56,66,79,69,86,53,83,912
FURTO DE VEÍCULO,22,18,29,44,62,34,19,30,18,30,39,24,369
