Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,0,0,0,1,0,1.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,0,0,0,1,0,1.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,3,2,0,1,0,0,0,0,0,0,0,0,6.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,1,1.0
TENTATIVA DE HOMICÍDIO,0,0,1,2,0,1,1,0,0,0,1,1,7.0
LESÃO CORPORAL DOLOSA,29,26,38,26,32,41,36,42,26,23,24,32,375.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,25,13,21,30,29,26,6,23,22,34,29,22,280.0
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,3,3,1,1,0,0,5,4,4,1,23.0
LATROCÍNIO,1,0,0,0,0,0,0,0,0,0,1,0,2.0
Nº DE VÍTIMAS EM LATROCÍNIO,1,0,0,0,0,0,0,0,0,0,2,0,3.0
TOTAL DE ESTUPRO (4),1,2,1,3,1,0,0,2,0,2,0,0,12.0
TOTAL DE ROUBO - OUTROS (1),81,118,162,109,166,118,148,140,146,144,131,121,1.584
ROUBO DE VEÍCULO,37,31,36,24,29,28,24,16,14,16,20,15,290.0
ROUBO A BANCO,0,1,0,0,0,0,0,0,0,0,1,1,3.0
ROUBO DE CARGA,2,3,6,1,3,6,3,2,1,1,1,3,32.0
FURTO - OUTROS,115,208,294,203,243,230,226,249,265,255,295,292,2.875
FURTO DE VEÍCULO,37,65,65,62,47,45,23,53,35,42,25,19,518.0
