Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,1,0,0,1,0,0,1,0,0,0,0,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,0,0,1,0,0,1,0,0,0,0,3
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,2,0,1,1,0,0,0,0,0,0,0,4
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,1,0,0,0,0,0,1
TENTATIVA DE HOMICÍDIO,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,19,19,16,10,12,15,13,21,14,20,18,20,197
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,10,11,10,11,14,10,10,9,7,17,11,20,140
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,1,0,0,0,0,0,0,1
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),2,1,1,0,0,2,1,0,1,0,2,0,10
TOTAL DE ROUBO - OUTROS (1),34,30,35,28,35,30,32,39,33,29,33,27,385
ROUBO DE VEÍCULO,21,17,16,16,6,13,16,12,23,14,19,14,187
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,1,0,0,1,0,0,0,2,1,2,0,1,8
FURTO - OUTROS,54,81,72,61,74,61,76,58,75,77,63,91,843
FURTO DE VEÍCULO,10,36,32,30,21,27,30,21,28,33,31,28,327
